FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
web-inf/classes/crm~icss~resources_generic_ja.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_generic_ja.properties,,158,404,0,1,1,,10.304879ms,
web-inf/classes/crm~tc~appbase~resources_en.properties,https://assets.officevibe.com/web-inf/classes/crm~tc~appbase~resources_en.properties,,282,404,0,1,1,,10.508562ms,
web-inf/xcm/customer/modification/xcmadmin-security-config.xml,https://assets.officevibe.com/web-inf/xcm/customer/modification/xcmadmin-security-config.xml,,670,404,0,1,1,,9.810076ms,
web-inf/xcm/customer/modification/layout-config.xml,https://assets.officevibe.com/web-inf/xcm/customer/modification/layout-config.xml,,914,404,0,1,1,,14.773485ms,
web-inf/classes/crm~icss~resources_generic_ru.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_generic_ru.properties,,1121,404,0,1,1,,9.518807ms,
web-inf/classes/crm~tc~appbase~resources_ca.properties,https://assets.officevibe.com/web-inf/classes/crm~tc~appbase~resources_ca.properties,,1261,404,0,1,1,,34.248489ms,
web-inf/classes/crm~icss~resources_complaint_sk.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_complaint_sk.properties,,1382,404,0,1,1,,10.023488ms,
web-inf/xcm/sap/system/permissionmapping-config.xml,https://assets.officevibe.com/web-inf/xcm/sap/system/permissionmapping-config.xml,,1501,404,0,1,1,,9.870674ms,
web-inf/classes/velocity.properties,https://assets.officevibe.com/web-inf/classes/velocity.properties,,1710,404,0,1,1,,9.323989ms,
meta-inf/ejb-jar.xml,https://assets.officevibe.com/meta-inf/ejb-jar.xml,,1746,404,0,1,1,,10.240399ms,
web-inf/cfg/log-config.properties,https://assets.officevibe.com/web-inf/cfg/log-config.properties,,2106,404,0,1,1,,9.199826ms,
web-inf/deployerconfigcontext.xml,https://assets.officevibe.com/web-inf/deployerconfigcontext.xml,,2141,404,0,1,1,,9.104731ms,
web-inf/spring-configuration/filters.xml,https://assets.officevibe.com/web-inf/spring-configuration/filters.xml,,2360,404,0,1,1,,29.469762ms,
web-inf/application_config.xml,https://assets.officevibe.com/web-inf/application_config.xml,,2479,404,0,1,1,,10.416736ms,
web-inf/classes/crm~icss~resources_contract_ca.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_contract_ca.properties,,2492,404,0,1,1,,9.818329ms,
web-inf/jrun-web.xml,https://assets.officevibe.com/web-inf/jrun-web.xml,,2667,404,0,1,1,,9.250692ms,
web-inf/classes/crm~icss~resources_hr.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_hr.properties,,2738,404,0,1,1,,9.165203ms,
web-inf/classes/crm~tc~core~resources.xlf,https://assets.officevibe.com/web-inf/classes/crm~tc~core~resources.xlf,,2848,404,0,1,1,,10.239766ms,
web-inf/classes/crm~icss~resources_fr.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_fr.properties,,3230,404,0,1,1,,9.616948ms,
web-inf/classes/errorresourcebundle_da.properties,https://assets.officevibe.com/web-inf/classes/errorresourcebundle_da.properties,,3386,404,0,1,1,,10.617512ms,
web-inf/classes/crm~isa~lwc~resources_pl.properties,https://assets.officevibe.com/web-inf/classes/crm~isa~lwc~resources_pl.properties,,3484,404,0,1,1,,10.017688ms,
web-inf/classes/conf/spring/applicationcontext-datasource.xml,https://assets.officevibe.com/web-inf/classes/conf/spring/applicationcontext-datasource.xml,,3923,404,0,1,1,,9.512826ms,
web-inf/classes/faces-config.xml,https://assets.officevibe.com/web-inf/classes/faces-config.xml,,4008,404,0,1,1,,10.197301ms,
web-inf/config/mua-endpoints.xml,https://assets.officevibe.com/web-inf/config/mua-endpoints.xml,,4090,404,0,1,1,,9.328136ms,
web-inf/classes/crm~eservice~complaint~resources_ko.properties,https://assets.officevibe.com/web-inf/classes/crm~eservice~complaint~resources_ko.properties,,4117,404,0,1,1,,10.210085ms,
web-inf/classes/crm~isa~isauseradmin~resources_th.properties,https://assets.officevibe.com/web-inf/classes/crm~isa~isauseradmin~resources_th.properties,,4202,404,0,1,1,,9.692295ms,
web-inf/classes/crm~tc~core~resources_es.xlf,https://assets.officevibe.com/web-inf/classes/crm~tc~core~resources_es.xlf,,4520,404,0,1,1,,9.008076ms,
web-inf/classes/crm~icss~resources_contract_hr.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_contract_hr.properties,,4690,404,0,1,1,,9.585539ms,
web-inf/classes/errorresourcebundle_it.properties,https://assets.officevibe.com/web-inf/classes/errorresourcebundle_it.properties,,4742,404,0,1,1,,10.099472ms,
web-inf/xcm/customer/modification/cache-config.xml,https://assets.officevibe.com/web-inf/xcm/customer/modification/cache-config.xml,,4975,404,0,1,1,,34.534645ms,
web-inf/classes/crm~isa~avwbuyer~resources_hr.properties,https://assets.officevibe.com/web-inf/classes/crm~isa~avwbuyer~resources_hr.properties,,5030,404,0,1,1,,10.964096ms,
web-inf/classes/crm~icss~resources_ca.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_ca.properties,,5663,404,0,1,1,,9.398485ms,
web-inf/classes/crm~icss~resources_contexthelp_no.properties,https://assets.officevibe.com/web-inf/classes/crm~icss~resources_contexthelp_no.properties,,5911,404,0,1,1,,8.945125ms,
web-inf/classes/crm~tc~core~resources_bg.properties,https://assets.officevibe.com/web-inf/classes/crm~tc~core~resources_bg.properties,,6357,404,0,1,1,,10.044276ms,
