FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
wp-atom.php,https://officevibe.com/wp-atom.php,https://officevibe.com/feed/atom,96,301,0,1,1,application/octet-stream; charset=UTF-8,4.553769818s,
lionwiki/index.php,https://officevibe.com/lionwiki/index.php,https://officevibe.com/lionwiki/,128,301,0,1,1,text/html; charset=UTF-8,5.150750533s,
AjaxExplorer/ajaxexplorer/index.php,https://officevibe.com/AjaxExplorer/ajaxexplorer/index.php,https://officevibe.com/AjaxExplorer/ajaxexplorer/,156,301,0,1,1,text/html; charset=UTF-8,4.913014834s,
index.php/admin/translationManager,https://officevibe.com/index.php/admin/translationManager,https://officevibe.com/admin/translationManager,161,301,0,1,1,text/html; charset=UTF-8,4.751494077s,
BX_ROOT/admin/index.php,https://officevibe.com/BX_ROOT/admin/index.php,https://officevibe.com/BX_ROOT/admin/,180,301,0,1,1,text/html; charset=UTF-8,4.27531469s,
.comments.,https://officevibe.com/.comments.,https://officevibe.com/.comments,182,301,0,1,1,text/html; charset=UTF-8,4.505762431s,
wp-admin/invites.php,https://officevibe.com/wp-admin/invites.php,/not_found,222,302,0,1,1,text/html; charset=UTF-8,4.533327036s,
...,https://officevibe.com/...,https://officevibe.com/,350,301,0,1,1,text/html; charset=UTF-8,4.607059227s,
event/controller.php                        ,https://officevibe.com/event/controller.php                        ,https://officevibe.com/event/controller.php,442,301,0,1,1,text/html; charset=UTF-8,5.000861164s,
index.php?route=property/category&filter_area=,https://officevibe.com/index.php?route=property/category&filter_area=,https://officevibe.com/?route=property%2Fcategory&filter_area,644,301,0,1,1,text/html; charset=UTF-8,4.574467807s,
zorum/index.php?method=&lt;script&gt;alert('Vulnerable')&lt;/script&gt;,https://officevibe.com/zorum/index.php?method=&lt;script&gt;alert('Vulnerable')&lt;/script&gt;,https://officevibe.com/zorum/?method=&lt;script&gt;alert(Vulnerable)&lt;/script&gt;,665,301,0,1,1,text/html; charset=UTF-8,4.387058795s,
recordings/index.php,https://officevibe.com/recordings/index.php,https://officevibe.com/recordings/,837,301,0,1,1,text/html; charset=UTF-8,4.578373597s,
index.php/blog,https://officevibe.com/index.php/blog,https://officevibe.com/blog,843,301,0,1,1,text/html; charset=UTF-8,4.385688037s,
index.php/404,https://officevibe.com/index.php/404,https://officevibe.com/404,934,301,0,1,1,text/html; charset=UTF-8,4.276043681s,
wp-mail.php,https://officevibe.com/wp-mail.php,,1011,403,2591,190,121,text/html; charset=UTF-8,4.952974882s,
bladir/admin/index.php,https://officevibe.com/bladir/admin/index.php,https://officevibe.com/bladir/admin/,1055,301,0,1,1,text/html; charset=UTF-8,4.8976113s,
activityi;dc_pre=CJ-f1fbuz9YCFYN_fgod990BYg;src=5529963;type=visit0;cat=visit0;u1=;u2=Integrated Financial Management;u3=with Lower Costs and Higher Returns*;u5=;ord=4538163996763;~oref=https:%2F%2Fwww.interactivebrokers.com%2Fen%2Fhome.php,https://officevibe.com/activityi;dc_pre=CJ-f1fbuz9YCFYN_fgod990BYg;src=5529963;type=visit0;cat=visit0;u1=;u2=Integrated Financial Management;u3=with Lower Costs and Higher Returns*;u5=;ord=4538163996763;~oref=https:%2F%2Fwww.interactivebrokers.com%2Fen%2Fhome.php,https://officevibe.com/activityi;dc_pre=CJ-f1fbuz9YCFYN_fgod990BYg;src=5529963;type=visit0;cat=visit0;u1=;u2=Integrated%20Financial%20Management;u3=with%20Lower%20Costs%20and%20Higher%20Returns%2A;u5=;ord=4538163996763;~oref=https:/www.interactivebrokers.com/en/home.php,1076,301,0,1,1,text/html; charset=UTF-8,4.283627601s,
broken.,https://officevibe.com/broken.,https://officevibe.com/broken,1197,301,0,1,1,text/html; charset=UTF-8,4.66691385s,
databases/SecureLoginManager.mdb         ,https://officevibe.com/databases/SecureLoginManager.mdb         ,https://officevibe.com/databases/SecureLoginManager.mdb,1208,301,0,1,1,text/html; charset=UTF-8,4.438680085s,
OnlineBanking/index.php,https://officevibe.com/OnlineBanking/index.php,https://officevibe.com/OnlineBanking/,1371,301,0,1,1,text/html; charset=UTF-8,4.601518766s,
product.,https://officevibe.com/product.,https://officevibe.com/product,1376,301,0,1,1,text/html; charset=UTF-8,4.467890808s,
Joomla_1.6.0-Alpha2-Full-Package/index.php,https://officevibe.com/Joomla_1.6.0-Alpha2-Full-Package/index.php,https://officevibe.com/Joomla_1.6.0-Alpha2-Full-Package/,1439,301,0,1,1,text/html; charset=UTF-8,4.765023374s,
tellme/index.php,https://officevibe.com/tellme/index.php,https://officevibe.com/tellme/,1462,301,0,1,1,text/html; charset=UTF-8,4.245134859s,
forum/lofiversion/index.php/t691.html,https://officevibe.com/forum/lofiversion/index.php/t691.html,https://officevibe.com/forum/lofiversion/t691.html,1479,301,0,1,1,text/html; charset=UTF-8,4.815956438s,
.K.T.,https://officevibe.com/.K.T.,https://officevibe.com/.K.T,1481,301,0,1,1,text/html; charset=UTF-8,4.608118492s,
clantiger1.1.3/index.php,https://officevibe.com/clantiger1.1.3/index.php,https://officevibe.com/clantiger1.1.3/,1707,301,0,1,1,text/html; charset=UTF-8,4.538090461s,
index.php?route=product/category&path=%33%33%5f%36%34%31%34%39%39%39%39%39%27%20%2f%2a%21%31%33%33%33%37%50%72%6f%63%65%44%75%72%65%2a%2f%20%41%6e%41%6c%79%73%65%20%28%65%78%74%72%61%63%74%76%61%6c%75%65%28%30%2c%63%6f%6e%63%61%74%28%30%78%32%37%2c%30%78%33%61%2c%40%40%76%65%72%73%69%6f%6e%29%29%2c%30%29%2d%2d%20%2d ,https://officevibe.com/index.php?route=product/category&path=%33%33%5f%36%34%31%34%39%39%39%39%39%27%20%2f%2a%21%31%33%33%33%37%50%72%6f%63%65%44%75%72%65%2a%2f%20%41%6e%41%6c%79%73%65%20%28%65%78%74%72%61%63%74%76%61%6c%75%65%28%30%2c%63%6f%6e%63%61%74%28%30%78%32%37%2c%30%78%33%61%2c%40%40%76%65%72%73%69%6f%6e%29%29%2c%30%29%2d%2d%20%2d ,https://officevibe.com/?route=product%2Fcategory&path=33_641499999%27%20%2F%2A%2113337ProceDure%2A%2F%20AnAlyse%20%28extractvalue%280%2Cconcat%280x27%2C0x3a%2C%40%40version%29%29%2C0%29--%20-,1759,301,0,1,1,text/html; charset=UTF-8,4.693343238s,
inc_types_graph.php                         ,https://officevibe.com/inc_types_graph.php                         ,https://officevibe.com/inc_types_graph.php,1878,301,0,1,1,text/html; charset=UTF-8,4.417403008s,
index.php/grid/users,https://officevibe.com/index.php/grid/users,https://officevibe.com/grid/users,2164,301,0,1,1,text/html; charset=UTF-8,4.648472158s,
index.php/mail/viewmessage/getattachment/folder/INBOX,https://officevibe.com/index.php/mail/viewmessage/getattachment/folder/INBOX,https://officevibe.com/mail/viewmessage/getattachment/folder/INBOX,2205,301,0,1,1,text/html; charset=UTF-8,4.502320027s,
src/addons/mediapool/pages/index.php,https://officevibe.com/src/addons/mediapool/pages/index.php,https://officevibe.com/src/addons/mediapool/pages/,2308,301,0,1,1,text/html; charset=UTF-8,4.453730659s,
